EmplID - Employee Name,Employee - EmplID - Job Title,Terminal,Workforce Callout Number,Call out Reasons,Related Employee,Shift,Date Created
aafrin,MOTOR VEHICLE OPERATOR,New York Ave,+(432) 988-6147,Annual Leave - Unscheduled,41783,AM,03-12-2024 07:39 AM
aahim,MOTOR VEHICLE OPERATOR,New York Ave,+(240) 893-7656,Paid Family Leave,42458,AM and PM,03-12-2024 06:33 AM
aadil,MOTOR VEHICLE OPERATOR,New York Ave,+(676) 207-3884,Late to Work,127345,AM,03-12-2024 05:57 AM
aanad,Motor Vehicle Operator,New York Ave,+(428) 408-8760,Annual Leave - Unscheduled,42381,AM and PM,03-12-2024 05:57 AM
aanad,Motor Vehicle Operator,New York Ave,+(428) 408-8760,Annual Leave - Unscheduled,42381,PM,03-12-2024 05:55 AM
aanamika,BUS ATTENDANT,New York Ave,+(367) 894-4491,Unscheduled sick leave for 3 or more days,42232,AM and PM,03-12-2024 05:14 AM
aadesh,BUS ATTENDANT,New York Ave,+(953) 638-6905,Unscheduled Sick Leave,41452,AM,03-12-2024 05:02 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,AM,03-12-2024 04:46 AM
aaditya,MOTOR VEHICLE OPERATOR,New York Ave,+(921) 154-9304,Unscheduled Sick Leave,100688,AM and PM,03-12-2024 04:45 AM
aamin,Motor Vehicle Operator,New York Ave,+(866) 560-8627,Unscheduled Sick Leave,51841,AM and PM,03-12-2024 04:09 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-12-2024 03:34 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-12-2024 02:02 AM
aanand,BUS ATTENDANT,New York Ave,+(136) 568-3002,Unscheduled Sick Leave,42141,AM and PM,03-12-2024 01:55 AM
aaenab,Bus Attendant,New York Ave,+(607) 493-9290,Paid Family Leave,128038,AM and PM,03-12-2024 01:40 AM
aanchal,Bus Attendant,New York Ave,+(931) 402-1644,Unscheduled Sick Leave,112095,PM,03-11-2024 12:52 PM
aanik,MOTOR VEHICLE OPERATOR,New York Ave,+(558) 399-8721,Unscheduled Sick Leave,42219,PM,03-11-2024 11:43 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,PM,03-11-2024 11:43 AM
aanil,Motor Vehicle Operator,New York Ave,+(324) 878-8576,Unscheduled Sick Leave,109679,PM,03-11-2024 11:25 AM
aansi,Bus Attendant,New York Ave,+(576) 666-5406,Unscheduled Sick Leave,108814,PM,03-11-2024 10:18 AM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,PM,03-11-2024 10:17 AM
aanik,MOTOR VEHICLE OPERATOR,New York Ave,+(558) 399-8721,Unscheduled Sick Leave,42219,AM,03-11-2024 08:07 AM
aansu,BUS ATTENDANT,New York Ave,+(927) 827-7604,Annual Leave - Unscheduled,41958,AM,03-11-2024 07:58 AM
aajad,Bus Attendant,New York Ave,+(465) 353-2371,Unscheduled Sick Leave,53347,AM and PM,03-11-2024 06:52 AM
aanya,MOTOR VEHICLE OPERATOR,New York Ave,+(743) 981-1618,Unscheduled Sick Leave,41484,AM and PM,03-11-2024 06:41 AM
aanya,MOTOR VEHICLE OPERATOR,New York Ave,+(743) 981-1618,Unscheduled Sick Leave,41484,PM,03-11-2024 06:40 AM
aanchal,Bus Attendant,New York Ave,+(931) 402-1644,Unscheduled Sick Leave,112095,AM,03-11-2024 05:00 AM
aaradhana,BUS ATTENDANT,New York Ave,+(922) 333-7575,Paid Family Leave,97105,AM and PM,03-11-2024 04:40 AM
aamil,Bus Attendant,New York Ave,+(189) 279-1327,Late to Work,111881,AM and PM,03-11-2024 04:10 AM
aarati,Motor Vehicle Operator,New York Ave,+(689) 624-7135,Unscheduled Sick Leave,107306,AM and PM,03-11-2024 03:53 AM
aahim,MOTOR VEHICLE OPERATOR,New York Ave,+(240) 893-7656,Paid Family Leave,42458,AM and PM,03-11-2024 03:50 AM
aanil,Motor Vehicle Operator,New York Ave,+(324) 878-8576,Unscheduled Sick Leave,109679,AM,03-11-2024 03:38 AM
aamin,Motor Vehicle Operator,New York Ave,+(866) 560-8627,Unscheduled Sick Leave,51841,AM and PM,03-11-2024 03:35 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-11-2024 03:32 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,AM,03-11-2024 03:20 AM
aaenab,Bus Attendant,New York Ave,+(607) 493-9290,Paid Family Leave,128038,AM and PM,03-11-2024 02:16 AM
aanand,BUS ATTENDANT,New York Ave,+(136) 568-3002,Unscheduled Sick Leave,42141,AM and PM,03-11-2024 01:39 AM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,AM,03-11-2024 01:11 AM
aarav,MOTOR VEHICLE OPERATOR,New York Ave,+(943) 565-4242,Unscheduled Sick Leave,41106,AM and PM,03-11-2024 12:48 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-10-2024 11:06 PM
aaditya,MOTOR VEHICLE OPERATOR,New York Ave,+(921) 154-9304,Unscheduled Sick Leave,100688,AM and PM,03-10-2024 10:04 PM
aakas,Bus Attendant,New York Ave,+(781) 573-9105,Unscheduled Sick Leave,123310,PM,03-08-2024 12:49 PM
aansu,BUS ATTENDANT,New York Ave,+(927) 827-7604,Unscheduled Sick Leave,41958,PM,03-08-2024 12:02 PM
aanil,Motor Vehicle Operator,New York Ave,+(439) 587-9331,Annual Leave - Unscheduled,109679,PM,03-08-2024 11:40 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,PM,03-08-2024 11:23 AM
aafreen,Bus Attendant,New York Ave,+(707) 610-6946,Unscheduled Sick Leave,127886,PM,03-08-2024 10:49 AM
aardhna,Bus Attendant,New York Ave,+(314) 549-5819,Annual Leave - Unscheduled,123316,PM,03-08-2024 10:41 AM
aagand,Bus Attendant,New York Ave,+(141) 263-5199,Unscheduled Sick Leave,132007,PM,03-08-2024 09:01 AM
aarif,Bus Attendant,New York Ave,+(483) 243-1118,Unscheduled Sick Leave,128169,PM,03-08-2024 08:54 AM
aaradhana,BUS ATTENDANT,New York Ave,+(922) 333-7575,Paid Family Leave,97105,AM and PM,03-08-2024 05:47 AM
aarifa,BUS ATTENDANT,New York Ave,+(127) 367-5332,Unscheduled Sick Leave,42363,AM and PM,03-08-2024 04:49 AM
aarifun,BUS ATTENDANT,New York Ave,+(379) 284-5251,Unscheduled Sick Leave,41678,AM and PM,03-08-2024 04:47 AM
aakar,MOTOR VEHICLE OPERATOR,New York Ave,+(565) 326-9986,Unscheduled Sick Leave,42917,AM and PM,03-08-2024 04:38 AM
aarju,MOTOR VEHICLE OPERATOR,New York Ave,+(802) 818-4702,Unscheduled Sick Leave,42304,AM and PM,03-08-2024 03:54 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-08-2024 03:36 AM
aamil,Bus Attendant,New York Ave,+(189) 279-1327,Annual Leave - Unscheduled,111881,AM and PM,03-08-2024 02:49 AM
aalina,Bus Attendant,New York Ave,+(666) 994-4045,Unscheduled Sick Leave,112055,AM and PM,03-08-2024 02:30 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Paid Family Leave,41143,AM and PM,03-07-2024 11:56 PM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,AM and PM,03-07-2024 11:54 PM
aanand,BUS ATTENDANT,New York Ave,+(136) 568-3002,Unscheduled Sick Leave,42141,AM and PM,03-07-2024 11:27 PM
aarti,BUS ATTENDANT,New York Ave,+(954) 480-1159,Unscheduled Sick Leave,42162,AM and PM,03-07-2024 11:06 PM
aarushi,Bus Attendant,New York Ave,+(831) 103-3273,Unscheduled Sick Leave,120998,AM and PM,03-07-2024 10:01 PM
aansi,Bus Attendant,New York Ave,+(576) 666-5406,Annual Leave - Unscheduled,108814,AM and PM,03-07-2024 09:46 PM
aas,Bus Attendant,New York Ave,+(185) 675-7762,Unscheduled Sick Leave,128165,PM,03-07-2024 09:22 AM
aanad,Motor Vehicle Operator,New York Ave,+(428) 408-8760,Late to Work,42381,AM,03-07-2024 06:44 AM
aarifun,BUS ATTENDANT,New York Ave,+(379) 284-5251,Unscheduled Sick Leave,41678,AM and PM,03-07-2024 05:07 AM
aasa,MOTOR VEHICLE OPERATOR,New York Ave,+(905) 319-9563,FMLA,102697,AM and PM,03-07-2024 04:08 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-07-2024 03:31 AM
aalina,Bus Attendant,New York Ave,+(666) 994-4045,Unscheduled Sick Leave,112055,AM and PM,03-07-2024 02:47 AM
aash,Bus Attendant,New York Ave,+(708) 824-1855,Paid Family Leave,109486,AM and PM,03-07-2024 02:32 AM
aamil,Bus Attendant,New York Ave,+(189) 279-1327,Annual Leave - Unscheduled,111881,AM and PM,03-07-2024 01:14 AM
aasha,Bus Attendant,New York Ave,+(249) 529-5075,Unscheduled Sick Leave,101487,AM and PM,03-07-2024 12:44 AM
aaradhana,BUS ATTENDANT,New York Ave,+(922) 333-7575,Paid Family Leave,97105,AM and PM,03-07-2024 12:22 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-07-2024 12:20 AM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,AM and PM,03-06-2024 09:19 PM
aarushi,Bus Attendant,New York Ave,+(831) 103-3273,Unscheduled Sick Leave,120998,AM and PM,03-06-2024 07:51 PM
aashi,MOTOR VEHICLE OPERATOR,New York Ave,+(698) 421-3403,Unscheduled Sick Leave,56872,AM and PM,03-06-2024 06:03 PM
aashia,Bus Attendant,New York Ave,+(227) 497-5221,Unscheduled Sick Leave,112092,PM,03-06-2024 12:53 PM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,PM,03-06-2024 12:32 PM
aashif,Bus Attendant,New York Ave,+(156) 152-8823,Unscheduled Sick Leave,97504,PM,03-06-2024 12:16 PM
aafrin,MOTOR VEHICLE OPERATOR,New York Ave,+(432) 988-6147,FMLA,41783,PM,03-06-2024 12:06 PM
aaftab,MOTOR VEHICLE OPERATOR,New York Ave,+(957) 728-8437,Unscheduled Sick Leave,41919,PM,03-06-2024 11:52 AM
aachal,BUS ATTENDANT,New York Ave,+(289) 888-1482,Annual Leave - Unscheduled,68058,PM,03-06-2024 11:17 AM
aardhna,Bus Attendant,New York Ave,+(314) 549-5819,Unscheduled Sick Leave,123316,PM,03-06-2024 11:15 AM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,AM and PM,03-06-2024 05:49 AM
aanamika,BUS ATTENDANT,New York Ave,+(367) 894-4491,Unscheduled sick leave for 3 or more days,42232,AM and PM,03-06-2024 05:08 AM
aarifun,BUS ATTENDANT,New York Ave,+(379) 284-5251,Unscheduled Sick Leave,41678,AM and PM,03-06-2024 05:02 AM
aanad,Motor Vehicle Operator,New York Ave,+(428) 408-8760,Unscheduled Sick Leave,42381,AM and PM,03-06-2024 05:01 AM
aakib,Bus Attendant,New York Ave,+(652) 566-4491,Unscheduled sick leave for 3 or more days,41431,AM and PM,03-06-2024 04:56 AM
aarushi,Bus Attendant,New York Ave,+(831) 103-3273,Unscheduled Sick Leave,120998,AM and PM,03-06-2024 04:07 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-06-2024 04:03 AM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,AM and PM,03-06-2024 03:45 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-06-2024 03:36 AM
aashik,BUS ATTENDANT,New York Ave,+(714) 732-9685,FMLA,41462,AM and PM,03-06-2024 03:01 AM
aashis,BUS ATTENDANT,New York Ave,+(675) 347-8112,Unscheduled Sick Leave,41752,AM and PM,03-06-2024 02:28 AM
aamil,Bus Attendant,New York Ave,+(189) 279-1327,Unscheduled sick leave for 3 or more days,111881,AM and PM,03-06-2024 02:22 AM
aadil,MOTOR VEHICLE OPERATOR,New York Ave,+(676) 207-3884,Unscheduled Sick Leave,127345,AM and PM,03-05-2024 11:10 PM
aanand,BUS ATTENDANT,New York Ave,+(136) 568-3002,Paid Family Leave,42141,AM and PM,03-05-2024 10:35 PM
aarti,BUS ATTENDANT,New York Ave,+(954) 480-1159,Paid Family Leave,42162,AM and PM,03-05-2024 09:25 PM
aamin,Motor Vehicle Operator,New York Ave,+(866) 560-8627,Unscheduled Sick Leave,51841,PM,03-05-2024 01:51 PM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,PM,03-05-2024 01:31 PM
aashish,BUS ATTENDANT,New York Ave,+(504) 570-2372,Unscheduled Sick Leave,122280,PM,03-05-2024 11:12 AM
aashiya,MOTOR VEHICLE OPERATOR,New York Ave,+(352) 508-8971,Unscheduled Sick Leave,41078,PM,03-05-2024 11:12 AM
aashma,Bus Attendant,New York Ave,+(800) 178-4983,Unscheduled Sick Leave,127880,PM,03-05-2024 10:16 AM
aamir,Bus Attendant,New York Ave,+(214) 770-8236,Annual Leave - Unscheduled,127884,PM,03-05-2024 10:16 AM
aabida,Motor Vehicle Operator,New York Ave,+(123) 958-8307,Unscheduled Sick Leave,41820,AM and PM,03-05-2024 06:31 AM
aanamika,BUS ATTENDANT,New York Ave,+(367) 894-4491,Unscheduled Sick Leave,42232,AM,03-05-2024 05:59 AM
aamod,Bus Attendant,New York Ave,+(365) 681-1852,Unscheduled Sick Leave,127883,AM,03-05-2024 05:30 AM
aagand,Bus Attendant,New York Ave,+(141) 263-5199,Annual Leave - Unscheduled,132007,AM,03-05-2024 05:10 AM
aagand,Bus Attendant,New York Ave,+(141) 263-5199,Annual Leave - Unscheduled,132007,PM,03-05-2024 05:09 AM
aarushi,Bus Attendant,New York Ave,+(831) 103-3273,Unscheduled Sick Leave,120998,AM and PM,03-05-2024 04:53 AM
aakar,MOTOR VEHICLE OPERATOR,New York Ave,+(565) 326-9986,Unscheduled Sick Leave,42917,AM and PM,03-05-2024 04:35 AM
aadesh,BUS ATTENDANT,New York Ave,+(953) 638-6905,Unscheduled Sick Leave,41452,AM,03-05-2024 04:34 AM
aakas,Bus Attendant,New York Ave,+(781) 573-9105,Unscheduled Sick Leave,123310,AM,03-05-2024 04:28 AM
aafrin,MOTOR VEHICLE OPERATOR,New York Ave,+(432) 988-6147,FMLA,41783,AM,03-05-2024 04:25 AM
aakash,MOTOR VEHICLE OPERATOR,New York Ave,+(442) 581-3057,Unscheduled sick leave for 3 or more days,41365,AM and PM,03-05-2024 04:07 AM
aachal,BUS ATTENDANT,New York Ave,+(289) 888-1482,Unscheduled Sick Leave,68058,AM and PM,03-05-2024 04:01 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-05-2024 03:31 AM
aashis,BUS ATTENDANT,New York Ave,+(675) 347-8112,Unscheduled Sick Leave,41752,AM and PM,03-05-2024 02:59 AM
aashia,Bus Attendant,New York Ave,+(227) 497-5221,Unscheduled Sick Leave,112092,AM,03-05-2024 01:05 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-05-2024 12:20 AM
aashu,BUS ATTENDANT,New York Ave,+(157) 979-8813,Unscheduled Sick Leave,42550,AM and PM,03-04-2024 11:35 PM
aasif,BUS ATTENDANT,New York Ave,+(698) 279-8123,Unscheduled Sick Leave,42225,AM and PM,03-04-2024 11:02 PM
aamil,Bus Attendant,New York Ave,+(189) 279-1327,Unscheduled sick leave for 3 or more days,111881,AM and PM,03-04-2024 10:52 PM
aasim,BUS ATTENDANT,New York Ave,+(662) 425-6860,Unscheduled Sick Leave,42193,AM and PM,03-04-2024 10:10 PM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,AM and PM,03-04-2024 09:04 PM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(439) 773-2215,Unscheduled Sick Leave,58398,AM and PM,03-04-2024 09:04 PM
aalam,MOTOR VEHICLE OPERATOR,New York Ave,+(518) 937-1193,Unscheduled Sick Leave,58398,PM,03-04-2024 12:10 PM
aabid,Bus Attendant,New York Ave,+(958) 694-3005,Unscheduled Sick Leave,31036,PM,03-04-2024 11:40 AM
aasish,MOTOR VEHICLE OPERATOR,New York Ave,+(741) 955-1339,Unscheduled Sick Leave,41819,AM and PM,03-04-2024 11:12 AM
aadil,MOTOR VEHICLE OPERATOR,New York Ave,+(676) 207-3884,Unscheduled Sick Leave,127345,PM,03-04-2024 10:56 AM
aarati,Motor Vehicle Operator,New York Ave,+(689) 624-7135,FMLA,107306,PM,03-04-2024 10:51 AM
aajiv,MOTOR VEHICLE OPERATOR,New York Ave,+(356) 393-9119,Unscheduled Sick Leave,54763,PM,03-04-2024 10:33 AM
aanamika,BUS ATTENDANT,New York Ave,+(367) 894-4491,Unscheduled Sick Leave,42232,AM and PM,03-04-2024 05:46 AM
aashia,Bus Attendant,New York Ave,+(227) 497-5221,Unscheduled Sick Leave,112092,AM and PM,03-04-2024 05:13 AM
aashif,Bus Attendant,New York Ave,+(156) 152-8823,Unscheduled Sick Leave,97504,AM and PM,03-04-2024 05:13 AM
aakas,Bus Attendant,New York Ave,+(781) 573-9105,Unscheduled Sick Leave,123310,AM,03-04-2024 05:08 AM
aaditya,MOTOR VEHICLE OPERATOR,New York Ave,+(921) 154-9304,Unscheduled Sick Leave,100688,AM and PM,03-04-2024 04:33 AM
aadil,MOTOR VEHICLE OPERATOR,New York Ave,+(676) 207-3884,Unscheduled Sick Leave,127345,AM,03-04-2024 03:40 AM
aaenab,Bus Attendant,New York Ave,+(139) 137-2729,Paid Family Leave,128038,AM and PM,03-04-2024 03:37 AM
aaftaab,Bus Attendant,New York Ave,+(859) 231-1459,Unscheduled Sick Leave,128590,AM and PM,03-04-2024 03:36 AM
aarju,MOTOR VEHICLE OPERATOR,New York Ave,+(802) 818-4702,Unscheduled Sick Leave,42304,AM and PM,03-04-2024 02:34 AM
aasma,MOTOR VEHICLE OPERATOR,New York Ave,+(167) 174-9408,Unscheduled Sick Leave,42581,AM and PM,03-04-2024 01:40 AM
aasim,BUS ATTENDANT,New York Ave,+(662) 425-6860,Unscheduled Sick Leave,42193,AM and PM,03-04-2024 12:23 AM
aarushi,Bus Attendant,New York Ave,+(831) 103-3273,Unscheduled Sick Leave,120998,AM and PM,03-04-2024 12:02 AM
aakanksha,Bus Attendant,New York Ave,+(866) 993-3434,Unscheduled Sick Leave,41143,AM and PM,03-03-2024 11:38 PM
aashu,BUS ATTENDANT,New York Ave,+(157) 979-8813,Unscheduled Sick Leave,42550,AM and PM,03-03-2024 09:57 PM
aalina,Bus Attendant,New York Ave,+(666) 994-4045,Unscheduled sick leave for 3 or more days,112055,AM and PM,03-03-2024 08:40 PM
aahim,MOTOR VEHICLE OPERATOR,New York Ave,+(240) 893-7656,Paid Family Leave,42458,AM and PM,03-03-2024 08:04 PM
aarif,Bus Attendant,New York Ave,+(483) 243-1118,Unscheduled sick leave for 3 or more days,128169,AM and PM,03-03-2024 08:51 AM
aarif,Bus Attendant,New York Ave,+(483) 243-1118,Unscheduled Sick Leave,128169,AM and PM,03-03-2024 08:50 AM
aaenab,Bus Attendant,New York Ave,+(607) 493-9290,Paid Family Leave,128038,PM,03-01-2024 12:43 PM
